course_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
jQuery Crash Course,0,0,0,0.096111311658,0,0,0,0,0,0,0.493361945295,0.39932907995,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Travel English,0,0,0,0,0.771272938583,0.0247179477969,0.128736751084,0,0,0,0,0,0,0,0.0718877471518,0,0,0,0,0,0,0,0,0,0,0
Arbitrage and Amazon's Fulfillment By Amazon (FBA) Program,0,0,0,0,0,0,0.0783737288059,0,0,0,0,0,0,0,0,0.0385469482924,0,0,0,0,0,0.882253351487,0,0,0,0
Introduction to Managerial Economics,0,0.473816582689,0,0,0,0,0.410680339716,0,0,0,0,0,0,0,0,0.0289743767563,0,0,0,0,0,0,0,0.0401470740394,0.039867979156,0
Linux System Administration Essentials,0,0.217299434439,0,0,0,0,0,0,0,0,0.584559179344,0.177693055355,0,0,0,0,0,0,0,0,0,0,0.0152572029712,0,0,0
Content Strategy for Professionals 2: Expanding Your Content’s Impact and Reach,0,0.706739656437,0,0,0,0.0481392217579,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0646024878346,0,0.172057095509,0,0,0,0
Sampling: Using Sampling for Sound Design & Production,0,0,0.881999822392,0,0,0.0877826080857,0,0,0,0,0,0,0,0,0,0,0,0,0.027584785639,0,0,0,0,0,0,0
IELTS Academic Test Preparation,0,0.224588821067,0,0,0.210577910089,0,0,0.296008223933,0.0694172457936,0,0,0.192620468801,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Friendly Italian: learn the basics in less than 1 month,0,0,0,0,0.903369008914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0807158717212,0,0
Making Agile Work for Your Business for Business Managers,0,0.495628656597,0,0.241468317434,0.0179499781175,0,0.220990566976,0,0,0,0,0,0.0227936063351,0,0,0,0,0,0,0,0,0,0,0,0,0
Music Production Fundamentals 101: Make Beats From Scratch!,0,0,0,0,0,0.356088978307,0,0,0,0,0,0,0,0,0,0,0,0,0.146233932834,0,0,0.459215550395,0,0,0,0
Stock Trading: Using Market Direction to Improve Your Odds,0,0.145669941633,0,0,0,0.20285875409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0823226665801,0,0,0.565894199827,0
Set Business Goals like Google with Objectives & Key Results,0,0.223293482017,0,0,0,0,0.439952752885,0,0,0,0,0.0926186840586,0,0,0.0453737245053,0,0,0,0,0,0,0.192030587303,0,0,0,0
Passive Income - Create Digital Products For Online Profit,0,0,0,0,0,0,0.0811375283979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916894290529,0,0,0,0
Comunica con Éxito para Lograr tus Objetivos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99075443787,0,0,0,0,0,0,0,0,0
"The Yoga of Success: Messaging, Marketing and Money",0,0,0.0238244426545,0,0,0.603227956129,0.228509363111,0.0697328667354,0.0424618026135,0,0,0,0.0265584581169,0,0,0,0,0,0,0,0,0,0,0,0,0
Learn about Love Addiction,0.0392873667414,0,0,0.407333704892,0,0,0,0,0,0,0,0,0.189535691762,0,0.304658823888,0.0478084647206,0,0,0,0,0,0,0,0,0,0
Update on evolving Techniques in First Aid,0,0,0,0,0,0,0,0.0238463021927,0.13907232811,0,0,0.108402022128,0,0,0.181709066103,0,0,0,0,0.427168818054,0,0,0,0,0,0.111618157356
PHP & MySQL - Learn The Easy Way. Master PHP & MySQL Quickly,0,0,0.469375770673,0,0,0,0,0,0,0,0,0.415239613936,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genomic Medicine Gets Personal,0,0.263292175652,0,0.0517529663006,0,0,0.0338314389397,0,0,0,0.0471160120686,0,0,0,0,0,0,0.0271972919606,0,0.57143087893,0,0,0,0,0,0
Agile Release Planning,0,0.182790582314,0.0372179030666,0.207234476999,0,0.107420251195,0.0524510082996,0,0.0999108804357,0,0,0,0,0,0,0,0,0,0,0,0.0200307025889,0.290398946232,0,0,0,0
Microsoft Visual C#.Net - Fundamentals,0,0,0,0,0,0,0,0,0,0,0,0.753068772849,0,0.215100988423,0,0,0,0,0,0,0,0,0,0,0,0
Habilidades de negociación y persuasión,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993914313535,0,0,0,0,0,0,0,0,0
"New World, New Map: GPS for Today’s Music Industry",0,0.376223891624,0.0935843608824,0,0,0,0.0513703829131,0,0,0,0,0,0.0201391921048,0,0.0271940575843,0,0,0,0.178605577576,0.110322711638,0,0,0,0.0793736408055,0,0.0598839315697
Play By Ear L2: Learn to Play By Ear Easily in 12 Keys Fast ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97910177088,0,0.0173326018632,0,0,0,0,0
Make and Deploy HTML5 Websites - Super Fast!,0.0121250055832,0,0,0,0,0.118106153039,0.157944044675,0,0,0,0.70352917076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
