course_name,Stock trading,Yoga/Mindfulness/Psychology,Photography/Cinematography,Mobile App Development,Architecture/history,Food/Weight Loss/Body Building,Web Development,Success Coaching,Leadership/Business,Communication,Logical Subjects,TBD,Sales/Marketing,4-hr week,Math,Social Sciences,Music,Game Development,Languages,Others,tsne_1,tsne_2,color,provider,general_topics
Acupressure For Emergency: Pressure Points 4 Fast Self-Help!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999570330164,4.10147730339,3.22130617156,#f98174,Udemy,Others
Guitarra Desde Cero - PARTE 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996701388871,4.10132714774,3.22161984657,#f98174,Udemy,Others
Emprendimiento Sostenible: Caja de Herramientas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996025104576,4.10147639481,3.22108959547,#f98174,Udemy,Others
Aprende a Ganar Dinero en la Bolsa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99560185183,4.10147286253,3.22109534552,#f98174,Udemy,Others
Habilidades de negociación y persuasión,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.993987341753,4.10148135085,3.22355116066,#f98174,Udemy,Others
Meditación Para Todos: Como Meditar Fácil y Profundo.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.993581081035,4.10147558173,3.22109876843,#f98174,Udemy,Others
Comunica con Éxito para Lograr tus Objetivos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9908653846,4.10147747343,3.22160217841,#f98174,Udemy,Others
"Curso Laravel 4, framework php rapido, potente y divertido. ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.990776698981,4.10147359952,3.22152678303,#f98174,Udemy,Others
Como ser Excelente Alumno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987820512806,4.10147839255,3.22130404015,#f98174,Udemy,Others
El Método Harvard de Negociación,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98698630129,4.10149843829,3.21634683844,#f98174,Udemy,Others
Factorización usando la Regla de Ruffini-Curso Introductorio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.984920634831,4.10147679422,3.22109833551,#f98174,Udemy,Others
Pitching Eficaz (III) - Proyectos Audiovisuales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.983898305021,4.10153070202,3.22130439773,#f98174,Udemy,Others
Dirección de Cámara: Alturas y Angulaciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.982727272679,4.10147707773,3.22128695208,#f98174,Udemy,Others
Mejores calificaciones usando tu dispositivo móvil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.981372548855,4.10153469508,3.22130459292,#f98174,Udemy,Others
Cómo inspirar y motivar a tus alumnos enseñando Matemática,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.979347826086,4.10118400741,3.22159508209,#f98174,Udemy,Others
Diseño de Sistemas de Drenaje Urbano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.979347824865,4.10147360611,3.22159371397,#f98174,Udemy,Others
