course_name,math/stat,stock_trading,stress_relieve,mobile_app_dev,critical_thinking/reasoning,database,courses_taught_in_foreign_language,javascript(minor_topic),social_science,random1,web_development,languages,finance/accounting,nutrition/health,financial_math(small_cluster),speaking/sound(small_cluster),online_ed_related,music,random2,photography,e-commerce/small_business,random3,fitness/weight_loss,science,programming,liberal_art,tsne_1,tsne_2,color,rating counts,total_enrollment,rating,final_provider,final_link,effort_hr_wk,final_price,course_name_for_hover,course_name_for_unhover,course_name_with_underscore,final_img
Servlets and JSPs Tutorial: Learn Web Applications With Java,0.0,0.0,0.0,0.0,0.0368752772808,0.190337845585,0.0,0.0,0.0,0.0,0.432668258118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0113453299766,0.0,0.0,0.0,0.328048251061,0.0,-9.82327221541,4.57617054276,navy,162.0,11619.0,94.074,Udemy,https://www.udemy.com/javawebtut/,0,49,hovercourse('Servlets and JSPs Tutorial: Learn Web Applications With Java'),unhovercourse('Servlets and JSPs Tutorial: Learn Web Applications With Java'),Servlets_and_JSPs_Tutorial:_Learn_Web_Applications_With_Java,../static/course_images/Servlets_and_JSPs_Tutorial:_Learn_Web_Applications_With_Java.jpg
Building a Rich Internet Application with Vaadin,0.0,0.0,0.0,0.0,0.0597466639677,0.221916650898,0.0,0.0,0.0,0.0,0.403357641294,0.0,0.0,0.0152242412443,0.0,0.0,0.0244303323639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27432934634,0.0,-9.73331711533,4.7875535012,navy,3.0,95.0,80.0,Udemy,https://www.udemy.com/building-a-rich-internet-application-with-vaadin/,0,24,hovercourse('Building a Rich Internet Application with Vaadin'),unhovercourse('Building a Rich Internet Application with Vaadin'),Building_a_Rich_Internet_Application_with_Vaadin,../static/course_images/Building_a_Rich_Internet_Application_with_Vaadin.jpg
Python Step by Step: Build a Data Analysis Program,0.0,0.0336547851481,0.0,0.0,0.0,0.172000617398,0.0,0.0,0.0,0.0,0.413590787697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.378664541001,0.0,-9.71205058237,4.47756064005,navy,8.0,249.0,100.0,Udemy,https://www.udemy.com/python-step-by-step-build-a-data-analysis-program/,0,197,hovercourse('Python Step by Step: Build a Data Analysis Program'),unhovercourse('Python Step by Step: Build a Data Analysis Program'),Python_Step_by_Step:_Build_a_Data_Analysis_Program,../static/course_images/0.png
PHP 101,0.0,0.0156760808278,0.0167351031779,0.0,0.0,0.178915381327,0.0,0.0,0.0,0.0,0.40085812021,0.0,0.0,0.0,0.0,0.0,0.0298200048544,0.0,0.0,0.0,0.0,0.0688698779625,0.0,0.0,0.287599101163,0.0,-9.72316223792,4.4613850967,navy,5.0,478.0,96.0,Udemy,https://www.udemy.com/introduction-to-php-101/,0,97,hovercourse('PHP 101'),unhovercourse('PHP 101'),PHP_101,../static/course_images/PHP_101.jpg
Windows PowerShell Fundamentals,0.0,0.0,0.0,0.0,0.0,0.178952913229,0.0,0.0,0.04625852903,0.0,0.567831043995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.201602109656,0.0,-11.0359188631,3.98249716027,#4dae4a,,,,EDX,https://www.edx.org/course/windows-powershell-fundamentals-microsoft-inf201x-0,3.0,n.a.,hovercourse('Windows PowerShell Fundamentals'),unhovercourse('Windows PowerShell Fundamentals'),Windows_PowerShell_Fundamentals,../static/course_images/ibf201x_thumbnail.jpg
Poser Pro Game Dev Fundamentals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.559950551937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.419070427083,0.0,-10.7452394184,1.79177848906,#4dae4a,1.0,76.0,100.0,Udemy,https://www.udemy.com/poser-pro-game-dev-fundamentals/,0,27,hovercourse('Poser Pro Game Dev Fundamentals'),unhovercourse('Poser Pro Game Dev Fundamentals'),Poser_Pro_Game_Dev_Fundamentals,../static/course_images/Poser_Pro_Game_Dev_Fundamentals.jpg
Java - Build a Desktop Application,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57261597496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.422078985252,0.0,-10.8555900932,1.76455707795,#4dae4a,4.0,1147.0,95.0,Udemy,https://www.udemy.com/build-a-desktop-application-using-java/,0,27,hovercourse('Java - Build a Desktop Application'),unhovercourse('Java - Build a Desktop Application'),Java_-_Build_a_Desktop_Application,../static/course_images/Java_-_Build_a_Desktop_Application.jpg
Introduction to Angular2,0.0301939810344,0.0,0.0,0.0211644502754,0.0475759911063,0.0,0.0,0.0,0.0,0.0,0.534754361248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364424084776,0.0,-10.5653927135,1.86423628394,#4dae4a,8.0,1795.0,85.0,Udemy,https://www.udemy.com/introduction-to-angular2/,0,17,hovercourse('Introduction to Angular2'),unhovercourse('Introduction to Angular2'),Introduction_to_Angular2,../static/course_images/Introduction_to_Angular2.jpg
Microsoft Visual C#.Net - Fundamentals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.568552190007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.399617571265,0.0,-10.8271464765,1.77353469289,#4dae4a,1.0,46.0,80.0,Udemy,https://www.udemy.com/microsoft-visual-cnet-fundamentals/,0,69,hovercourse('Microsoft Visual C#.Net - Fundamentals'),unhovercourse('Microsoft Visual C#.Net - Fundamentals'),Microsoft_Visual_C#.Net_-_Fundamentals,../static/course_images/Microsoft_Visual_C#.Net_-_Fundamentals.jpg
Learn PHP Programming From Scratch,0.0,0.0,0.0,0.0,0.0,0.186807797074,0.0,0.0,0.0,0.0,0.596767992516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0284505229905,0.0,0.0,0.0,0.0,0.0,0.180980680427,0.0,-11.2363627715,3.93324588233,#4dae4a,115.0,23005.0,89.392,Udemy,https://www.udemy.com/learn-php-programming-from-scratch/,0,299,hovercourse('Learn PHP Programming From Scratch'),unhovercourse('Learn PHP Programming From Scratch'),Learn_PHP_Programming_From_Scratch,../static/course_images/0.png
